day_of_week,start_time,finsh_time,stage
1,08:00,12:00,1
1,08:00,12:00,2
1,08:00,12:00,3
1,08:00,12:00,4
1,08:00,12:00,5
1,08:00,12:00,6
1,08:00,12:00,7
1,08:00,12:00,8
2,04:00,08:00,2
2,04:00,08:00,3
2,04:00,08:00,6
2,04:00,08:00,7
2,04:00,08:00,8
3,00:00,04:00,8
4,08:00,12:00,4
4,16:00,20:00,2
4,16:00,20:00,3
4,16:00,20:00,4
5,08:00,12:00,1
5,16:00,20:00,3
5,16:00,20:00,4
5,16:00,20:00,5
5,16:00,20:00,6
5,16:00,20:00,7
5,16:00,20:00,8
5,20:00,00:00,1
5,20:00,00:00,2
5,20:00,00:00,3
5,20:00,00:00,4
5,20:00,00:00,8
6,00:00,04:00,3
6,00:00,04:00,4
7,00:00,04:00,8
7,08:00,12:00,2
7,08:00,12:00,3
7,08:00,12:00,4
7,08:00,12:00,5
7,08:00,12:00,6
7,08:00,12:00,7
7,08:00,12:00,8
